law_id,law_name,domain,statement,primitive_function,enforcement_layer,sdk_affinity,organism_placement
AL-040,Law of Organism Reintegration,Architecture,Every sovereign rebuild must be reinserted into doctrine / mechanism / runtime / organism / IP,Reintegrate into organism,Counsel Ring,All SDKs,Architecture / organism integration
AL-041,Law of Prompt Boundary Enforcement,AI Safety,All external inputs entering an intelligence wire must be sanitized against prompt injection — no raw user content may modify system-level instructions,Sanitize prompt boundaries,Proof Ring,@medina/intelligence-routing-sdk,Organism core / safety layer
AL-042,Law of Hallucination Containment,AI Safety,Every model output must pass a grounding verification gate before entering organism memory — ungrounded assertions must be flagged and quarantined,Detect and quarantine hallucinations,Proof Ring,@medina/intelligence-routing-sdk,Organism core / verification layer
AL-043,Law of Toxicity Gating,AI Safety,All generated content must pass through a toxicity classifier before projection — content exceeding the configured threshold must be suppressed,Filter toxic outputs,Proof Ring,@medina/intelligence-routing-sdk,Organism core / safety layer
AL-044,Law of Self-Healing Bounds,Agent Autonomy,An agent may attempt autonomous recovery up to a doctrine-defined retry limit — exceeding the limit must escalate to a human or sovereign authority,Enforce self-healing boundaries,Sovereign Ring,@medina/organism-runtime-sdk,Organism core / resilience layer
AL-045,Law of Action Perimeter,Agent Autonomy,Autonomous agent actions must remain within a declared capability perimeter — any action outside the perimeter requires explicit authorization,Constrain autonomous action scope,Counsel Ring,@medina/organism-runtime-sdk,Organism core / governance layer
AL-046,Law of Delegation Traceability,Agent Autonomy,Every delegated task must maintain an unbroken chain of authority from originator to executor — orphaned delegations must be terminated,Track delegation lineage,Counsel Ring,@medina/intelligence-routing-sdk,Organism core / orchestration layer
AL-047,Law of Model Sunset,Multi-Model Governance,Every deployed model must have a declared retirement date — expired models must be gracefully drained and replaced without service interruption,Enforce model lifecycle retirement,Counsel Ring,@medina/intelligence-routing-sdk,Organism core / governance layer
AL-048,Law of Capability Attestation,Multi-Model Governance,Every model must publish a capability score vector before entering the routing pool — unscored models must not receive tasks,Score and attest model capabilities,Interface Ring,@medina/intelligence-routing-sdk,Organism core / orchestration layer
AL-049,Law of Bias Vigilance,Multi-Model Governance,Model outputs must be continuously monitored for distributional bias — detected bias must trigger recalibration or routing exclusion within one heartbeat cycle,Monitor and mitigate output bias,Proof Ring,@medina/intelligence-routing-sdk,Organism core / verification layer
AL-050,Law of Protocol Version Pinning,Protocol Compliance,Every wire protocol must declare an explicit version — version-mismatched peers must negotiate or reject the connection before data exchange,Enforce protocol version negotiation,Transport Ring,@medina/intelligence-routing-sdk,Frontend organism / channel layer
AL-051,Law of Backward Compatibility,Protocol Compliance,Protocol upgrades must maintain backward compatibility for at least two prior versions — breaking changes require a migration bridge,Guarantee backward-compatible evolution,Transport Ring,@medina/enterprise-integration-sdk,Frontend organism / integration layer
AL-052,Law of Tool Attestation,Marketplace Integrity,Every tool published to the marketplace must carry a cryptographic attestation of its source and capability claims — unverified tools must not be listed,Verify marketplace tool integrity,Proof Ring,@medina/enterprise-integration-sdk,Organism core / marketplace layer
AL-053,Law of Settlement Finality,Marketplace Integrity,Marketplace transactions must reach settlement finality within a bounded window — unsettled transactions must be rolled back and refunded,Enforce transaction settlement,Sovereign Ring,@medina/enterprise-integration-sdk,Organism core / marketplace layer
AL-054,Law of Observer Lifecycle,Observer Intelligence,Every observer must be explicitly registered and deregistered — orphaned observers must be detected and garbage-collected within one heartbeat cycle,Manage observer registration lifecycle,Memory Ring,@medina/sovereign-memory-sdk,Frontend organism / observation layer
AL-055,Law of Mutation Throttling,Observer Intelligence,Observable state mutations must be throttled to prevent notification storms — burst rates exceeding the configured ceiling must be batched,Throttle mutation notifications,Memory Ring,@medina/sovereign-memory-sdk,Frontend organism / observation layer
AL-056,Law of Worker Containment,Web Worker Discipline,Each web worker must execute in a fully isolated context — no shared mutable memory is permitted between worker and main thread,Isolate worker execution contexts,Sovereign Ring,@medina/organism-runtime-sdk,Frontend organism / execution layer
AL-057,Law of Worker Message Fidelity,Web Worker Discipline,All messages crossing a worker boundary must be serialized through structured clone or transferable objects — implicit reference sharing is forbidden,Enforce structured message passing,Transport Ring,@medina/organism-runtime-sdk,Frontend organism / channel layer
AL-058,Law of Substrate Migration Safety,Cross-Substrate,State migrations across substrates must be atomic and verifiable — partial migrations must be rolled back and the source state must remain unaltered,Enforce atomic cross-substrate migration,Sovereign Ring,All SDKs,Organism core / substrate layer
AL-059,Law of Phase Lock Integrity,Resonance & Synchronization,Coupled subsystems must maintain phase lock within the configured drift tolerance — phase deviation beyond threshold must trigger resynchronization,Enforce phase-locked synchronization,Sovereign Ring,@medina/organism-runtime-sdk,Organism core / resonance layer
AL-060,Law of Entity Uniqueness,Knowledge Integrity,Knowledge graph entities must be deduplicated on ingestion — duplicate entities must be merged and their lineage records consolidated,Deduplicate knowledge entities,Memory Ring,@medina/document-absorption-engine,Frontend organism / knowledge layer
